ssn,first_name_education,middle_name_education,last_name_education,gender_education,current_age,birth_date_education,street_address_education,suburb_education,postcode_education,state_education,phone_education,email_education,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,first_name_medical,middle_name_medical,last_name_medical,gender_medical,age_at_consultation,birth_date_medical,medicare_number,street_address_medical,suburb_medical,postcode_medical,state_medical,phone_medical,email_medical,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
i111092301,wendy,sherrice,overbee,f,33,4/3/1987, 28  bowdens  road  rose  cottage ,hadspen,7290.0,tas, 03  7219  1705 ,wendy.overbee@mail.com,graduate-diploma,ict-professional,144075.0, 8911  5200  8843  6008 ,14,2020-07-08t20:16+00:00,wendy,sherrice,overbee,f,28,04/03/1987, 9472  87441  1  1 , 56  burwood  drive  elouera , blackmans  bay ,7052.0,tas,,,not-married,170,58,20,68,264,0,left-hip-pain,2015-03-06t24:22+00:00
b166425551,jacqueline,warwick,jones,f,5,19/9/2013, 36  Keemore  Way ,Balga,6061.0,WA, 08  0206  6097 ,jones89@aol.com,primary-school,,0.0,,0,2018-05-27T08:08+00:00,jacqueline,warwick,jones,f,7,19/09/2013, 8135  77764  1  2 , 110  king  street  rosevilee  retirement  village , doncaster  east ,3109.0,vic,,,,116,20,14,70,95,0,worsening-memory,2020-02-10t02:27+00:00
d198738128,esther,rogers,springle,f,60,26/7/1960, 14  brookland  avenue  acacia  hills  street ,sheffield,7306.0,tas, 03  9515  7745 ,springle54@mail.com,senior-secondary-school,personal-assistant,38421.0, 1754  7206  4306  9373 ,35,2014-11-03t21:37+00:00,esther,rogers,springle,f,58,26/07/1960, 4532  60236  2  1 , 14  brookland  avenue  acacia  hills  street ,sheffield,7306.0,tas, 03  9515  7745 ,springle54@mail.com,married,181,139,42,73,150,0,fall-in-shower,2018-04-07t16:20+00:00
g163481334,jerrayle,,adams,f,51,29/12/1969, 102  maroondah  highway  central  road ,croydon,3136.0,vic, 03  5600  1039 ,fkmgaacjcm@mail.com.au,certificate-iii,ict-technician,, 1875  2094  5325  1881 ,32,2020-01-18t13:56+00:00,jerrayle,mitchell,adams,f,43,29/12/1969, 8612  40765  1  2 , 45  emmerton  park  bass  highway ,smithton,,tas, 03  0974  8670 ,fkmgaacjcm@mail.com.au,married,169,76,26,71,187,0,drowsiness,2012-01-24t05:21+00:00
a148156536,benjamin,junior,bittle,m,11,27/10/2009, 5  maud  street  rosetta  village  house , victor  harbor ,5211.0,sa, 08  9008  6918 ,benjamin10@gmail.com,primary-school,,0.0,,0,2020-06-19t10:50+00:00,benjamin,junior,bittle,m,7,27/10/2009, 2926  97665  1  3 , 239  george  street  mlc  centre ,brisbane,4000.0,qld, 07  5321  2166 ,,,117,34,24,71,133,0,drowsiness,2016-12-14t10:30+00:00
f159605597,khari,reed,mayer,m,73,20/2/1947, 29  cavenagh  street  chin  arcade ,darwin,800.0,nt, 08  8347  8795 ,mayer45@gmail.com,advance-diploma,education-professional,81313.0, 4715  1529  5910  1533 ,53,2019-02-08t15:35+00:00,khari,reed,mayer,m,69,20/02/1947, 6070  77731  1  1 , 29  cavenagh  street  chin  arcade ,darwin,800.0,nt,,mayer45@gmail.com,divorced,184,144,42,74,156,0,drowsy/sleepy,2016-08-07t10:40+00:00
b139929762,patricia,brooke,saya,f,56,8/2/1964, 1  Charles  Street ,Plympton,5038.0,SA, 08  9735  5751 ,saya77@mail.com,certificate-ii,engineering-worker,, 6344  0964  2010  3786 ,35,2018-06-23T24:09+00:00,patricia,brooke,saya,f,53,08/02/1964, 4006  33716  1  2 , 3  blackwood  road  blackwood ,penshurst,3289.0,vic, 03  8593  4951 ,saya77.mail.com,married,197,117,30,71,182,1,dry-mouth,2018-07-13t23:32+00:00
e170516883,mary,williams,mcclure,f,73,11/8/1947, 1  wilderness  road  wallcliffe  lodge , margaret  river ,6285.0,wa, 08  1748  2408 ,mcclure94@yahoo.com,diploma,construction-worker,67981.0, 6126  5021  9840  1048 ,54,2020-04-24t04:23+00:00,mary,williams,mcclure,m,69,11/08/1947, 2790  45391  1  1 , 2  bilsden  street  kalgoorlie  vlge  caravn  park , kalgoorie  west ,6430.0,wa, 08  1748  2408 ,,married-de-facto,195,80,21,65,227,0,djd/osteoarthritis,2016-04-11t12:55+00:00
h127949167,joyce,lee,goodwin,f,25,28/4/1995, 155  st  andrews  road  kangaroo  ground , kangaroo  ground ,3097.0,vic,,goodwin.joyce@aol.com,graduate-diploma,legal-professional,-9999.0, 6238  8006  9031  5618 ,6,2020-07-14t03:40+00:00,joyce,lee,goodwin,f,17,28/04/1995, 9210  45760  1  2 , 155  st  andrews  road  kangaroo  ground , kangaroo  ground ,3097.0,vic,,goodwin.joyce@aol.com,married,176,87,28,75,167,0,fall,2012-05-24t24:07+00:00
a127208788,arthur,,clark,m,32,22/1/1988, 157  marconi  street  villa  96 , bonnells  bay ,2264.0,nsw, 02  6103  9060 ,clark.arthur@mail.com.au,senior-secondary-school,construction-labourer,13797.0, 5925  5499  3523  4981 ,13,2020-02-24t10:20+00:00,arthur,hall,clark,m,26,22/01/1988, 8722  59985  1  2 , 27  bridge  street  upstairs  flat ,uralla,,nsw,,,divorced,198,124,31,76,172,0,impetigo,2014-12-04t07:11+00:00
d117807889,russell,c,barnes,m,12,19/12/2008, 19  maud  street  rosetta  village , victor  harbor ,5211.0,sa,,jkikebptob@gmail.com,secondary-school,,,,0,2020-05-27t02:43+00:00,russell,c,barnes,m,9,19/12/2008, 1044  41251  2  2 , 19  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  6170  4930 ,jkikebptob@gmail.com,,136,42,22,75,178,0,depressed-mood-r/t-son's-divorce,2017-10-11t04:54+00:00
a197510593,stephen,launius,wilson,m,26,16/3/1994, 7  Bonalbo  Close , Coffs  Harbour ,2450.0,NSW, 02  7695  2073 ,wilson46@mail.com.au,graduate-diploma,legislator,, 5531  7322  5378  9694 ,6,2019-08-26T03:56+00:00,stephen,launius,wilson,m,24,16/03/1994, 5747  65795  2  2 , 1  emerald  street  edinglassie  retirement  village , emu  plains ,2750.0,nsw, 02  5143  4680 ,wilson46@mail.com.au,divorced,193,74,19,74,132,0,pelvic-fracture-due-to-fall,2018-09-16t12:25+00:00
a196093012,kathryn,lea,fleckenstein,f,15,24/3/2002, 25  Carter  Road ,Nambour,4560.0,QLD, 07  2138  5076 ,shepherd.kathryn@mail.com.au,senior-secondary-school,casual-worker,-9999.0, 0603  2644  9670  5837 ,1,2017-08-27T01:02+00:00,kathryn,lea,shepherd,f,15,24/03/2002, 3412  46562  2  3 , 332  park  street  flt  45 , south  melbourne ,3205.0,vic, 03  6008  6357 ,shepherd.kathryn@mail.com.au,,170,88,30,71,219,0,low-energy,2017-12-27t03:30+00:00
i121449710,justin,t,money,m,55,19/1/1965, 7  Hood  Street ,Yarraville,3013.0,VIC, 03  6519  7927 ,justin4@mail.com.au,graduate-certificate,chief-executive,150330.0, 9400  5249  6498  0326 ,36,2020-12-21T05:34+00:00,justin,t,money,m,50,19/01/1965, 4817  31849  1  1 , 28  upper  road  st  lawerance  court , california  gully ,3556.0,vic,,,married-de-facto,180,138,42,73,191,0,subtotal-thyroidectomy,2015-03-24t04:37+00:00
h123048922,michael,keith,suess,f,47,27/9/1970, 122  Anzac  Avenue ,Engadine,2233.0,NSW, 02  3409  9274 ,suess.michael@gmail.com,advance-diploma,legal-professional,96591.0, 2171  5090  1021  4778 ,31,2017-03-18T07:24+00:00,michael,keith,suess,f,49,27/09/1970, 2827  77496  1  2 , 86  high  street  boonah  medical  centre ,boonah,,qld, 07  6614  5673 ,,divorced,198,60,15,69,103,0,worsening-depression-and-crying,2019-01-16t14:06+00:00
a119557280,angie,esperanza,vandiford,f,60,4/4/1958, 3  Bruce  Street ,Laverton,3028.0,VIC, 03  7986  8222 ,edgntfbgrd@aol.com,certificate-iv,construction-worker,59696.0, 2703  9788  4379  4574 ,43,2018-01-12T01:36+00:00,angie,esperanza,vandiford,f,61,04/04/1958, 8223  91000  2  1 , 179  karalta  road  tarragal  glen ,erina,2250.0,nsw,,edgntfbgrd@aol.com,married-de-facto,176,109,35,74,255,1,pneumonia,2019-01-21t01:22+00:00
g163576699,charles,emerson,dyson,f,13,9/6/2007, 138  hildebrands  road  hopeview ,leitchville,3567.0,vic,,dyson.charles@mail.com.au,secondary-school,,-9999.0,,0,2020-05-07t08:02+00:00,charles,emerson,dyson,f,9,09/06/2007, 1965  95033  2  2 , 138  hildebrands  road  hopeview ,leitchville,3567.0,vic,,dyson.charles@mail.com.au,,132,38,21,71,176,0,left-leg-pain,2016-12-26t23:23+00:00
e129371945,elizabeth,jane,calicchio,f,2,7/11/2014, 47  Underwood  Street ,Corrimal,2518.0,NSW, 02  6108  2989 ,calicchio.elizabeth@yahoo.com,primary-school,,0.0,,0,2016-09-23T12:22+00:00,elizabeth,,calicchio,f,6,07/11/2014, 7617  12563  1  2 , 303  ross  lane  sanctuary  village , lennox  head ,2478.0,nsw,,calicchio.elizabeth@yahoo.com,,122,19,12,71,187,0,urinary-tract-infection,2020-02-27t19:10+00:00
c103847649,alex,cecil,burris,m,29,20/1/1990, 10  Alston  Parade , Belmont  North ,2280.0,NSW, 02  6810  8564 ,,bachelor-degree,other-technician,85864.0, 5882  8563  3039  2564 ,9,2017-12-08T09:02+00:00,alex,cecil,burris,m,26,20/01/1990, 9177  78014  2  1 , 439  teven  road  miroma ,teven,2478.0,nsw, 02  7427  9524 ,bngoteorrh@mail.com,married,186,75,21,71,172,0,chest-pain,2016-06-22t15:27+00:00
h193650029,joe,w,davenport,f,23,30/9/1997, 227  main  road  toukley  mall ,toukley,2263.0,nsw, 02  6376  6122 ,joe.davenport@aol.com,graduate-diploma,chief-executive,184485.0, 7154  3029  6046  8941 ,4,2020-01-07t09:22+00:00,joe,w,davenport,f,15,30/09/1997, 2563  38359  1  2 , 3  rowethorpe  court  court  units ,bentley,6102.0,wa, 08  2465  1194 ,joe.davenport@aol.com,married-de-facto,162,68,25,66,198,0,dizziness,2012-09-27t13:47+00:00
g156244638,lillie,gail,pilman,f,64,1/8/1956, 433  brisbane  road  lakeside  manor ,arundel,4214.0,qld, 07  3877  4898 ,hnstqpehqg@aol.com,bachelor-degree,health-professional,, 2416  1003  9246  1133 ,45,2020-04-21t12:31+00:00,lillie,gail,pilman,f,58,01/08/1956, 8609  52580  1  1 , 320  gilston  road  melody  park ,nerang,4211.0,qld,,hnstqpehqg@aol.com,married,177,-99,24,74,180,0,hammertoe-surgery-burning-feet,2014-10-13t24:15+00:00
d160313266,stephen,lee,greene,m,27,22/4/1993, 128  terrigal  drive  tingarri  vlge ,terrigal,2260.0,nsw, 02  6149  6684 ,stephen22@yahoo.com,bachelor-degree,ict-technician,90381.0, 1805  0270  0129  5509 ,7,2019-07-27t09:11+00:00,stephen,lee,greene,m,23,22/04/1993, 8820  53017  2  2 , 128  terrigal  drive  tingarri  vlge ,terrigal,2260.0,nsw,,stephen22@yahoo.com,married,167,89,31,77,242,0,rash,2016-03-02t21:44+00:00
a115354832,ambar,r,bost,f,59,5/5/1958, 58  Salisbury  Road ,Willoughby,2068.0,NSW, 02  8875  1905 ,ambar95@hotmail.com,diploma,construction-worker,81268.0, 1922  2498  8602  9707 ,43,2017-10-13T14:11+00:00,ambar,r,vance,f,56,05/05/1958, 2313  79987  1  1 , 468  parkwood  road  the  cottage ,macgregor,2615.0,act,,,not-married,185,113,33,69,175,1,low-energy,2014-07-19t07:31+00:00
c138963038,paul,glendell,webb,m,64,6/5/1953, 12  Wight  Street ,Kyabram,3620.0,VIC, 03  6785  8547 ,kaoisrrsmh@aol.com,bachelor-degree,ict-technician,109787.0, 8115  8361  1753  1053 ,48,2017-10-02T09:57+00:00,paul,glendell,webb,m,62,06/05/1953, 9755  31503  1  1 , 13  mary  street  penhale ,grafton,2460.0,nsw,,kaoisrrsmh@aol.com,not-married,177,89,28,83,173,0,low-energy,2015-04-06t04:04+00:00
a137796690,martin,william,haynes,f,39,17/3/1981, 37  sanctuary  drive  fairfield  waters ,idalia,4811.0,qld, 07  5883  6022 ,martin14@gmail.com,advance-diploma,education-professional,146625.0, 6982  0627  1997  4581 ,18,2018-05-04t14:40+00:00,martin,william,haynes,f,34,17/03/1981, 3547  60612  1  2 , 37  sanctuary  drive  fairfield  waters ,idalia,4811.0,qld, 07  5883  6022 ,,not-married,185,135,39,74,234,0,glaucoma---left-eye,2015-08-19t24:38+00:00
e196942208,margaret,chavis,carbonaro,f,25,13/11/1994, 20  Hastings  Parade , North  Bondi ,2026.0,NSW,,carbonaro96@hotmail.com,certificate-iii,ict-technician,105133.0, 5413  3204  6976  8368 ,7,2019-01-06T01:37+00:00,margaret,chavis,carbonaro,f,20,13/11/1994, 2961  55671  2  2 , 966  skyline  road  banyeena , christmas  hills ,3775.0,vic, 03  0186  4334 ,carbonaro96@hotmail.com,married,176,-99,31,83,127,0,shortness-of-breath,2014-05-06t10:35+00:00
g160262010,william,m,howie,f,32,5/8/1988, 10  Trumper  Place ,Menai,2234.0,NSW, 02  0716  4830 ,howie59@yahoo.com,bachelor-degree,legal-professional,-9999.0, 1842  4318  3164  1068 ,12,2019-12-14T20:11+00:00,william,m,howie,f,28,05/08/1988, 6068  53476  2  2 , 23  kurrajong  court  bencubbin  est ,dubbo,2830.0,nsw, 02  5707  3839 ,howie59@yahoo.com,married,180,137,42,82,260,0,constipation,2016-10-05t09:12+00:00
i125110417,tonescia,victor,martin,f,32,27/4/1987, 19  Hawdon  Avenue , Kennett  River ,3221.0,VIC, 03  4578  6927 ,tonescia43@mail.com.au,certificate-iv,other-technician,113698.0, 6939  0854  5610  8266 ,14,2019-02-11T23:59+00:00,tonescia,victor,hodges,f,28,27/04/1987, 5840  72256  2  2 , 17  florence  court  lynbardeen ,donald,3480.0,vic, 03  2106  0990 ,,not-married,170,140,48,67,62,0,rash-on-bilateral-forearms,2015-02-07t23:17+00:00
g185580706,howard,erling,parrish,m,19,27/12/2001, 1258  richmond  road  jodannon ,richmond,7025.0,tas, 03  2675  2190 ,parrish.howard@hotmail.com,bachelor-degree,ict-technician,137639.0, 6949  0728  7951  7019 ,0,2020-07-08t04:06+00:00,howard,erling,parrish,m,16,27/12/2001, 9207  90089  1  2 , 1258  richmond  road  jodannon ,richmond,,tas, 03  2675  2190 ,,married,170,57,19,70,111,0,possible-food-poisoning,2017-12-15t11:02+00:00
b189219156,virginia,beachum,bradshaw,f,60,20/9/1960, 72  wellington  street  toll  house  cottage ,longford,7301.0,tas, 03  4097  9172 ,virginia.bradshaw@aol.com,senior-secondary-school,factory-worker,, 9487  3475  3612  4509 ,39,2018-09-11t14:06+00:00,virginia,beachum,bradshaw,f,57,20/09/1960, 8799  14879  1  2 , 72  wellington  street  toll  house  cottage ,longford,7301.0,tas, 03  4097  9172 ,virginia.bradshaw@aol.com,married,189,140,39,78,137,0,constipation,2017-10-16t14:56+00:00
h140444170,ronald,gene,brodie,f,54,17/1/1962, 3  McGuire  Circuit ,Moulden,830.0,NT, 08  7787  1359 ,,senior-secondary-school,factory-worker,, 9678  3964  2945  6768 ,32,2009-05-07T17:37+00:00,ronald,gene,brodie,f,56,17/01/1962, 2905  23174  2  1 , 8  chapman  street  araluen , carrum  downs ,3201.0,vic,,ronald.brodie@gmail.com,married-de-facto,166,84,30,75,112,0,benign-mole-removed,2018-08-02t07:55+00:00
d101402314,joseph,daequan,jones,f,23,16/7/1993, 114  Buckley  Street , Noble  Park ,3174.0,VIC, 03  3194  7870 ,joseph.jones@hotmail.com,doctoral-degree,general-manager,161534.0, 2292  4708  4195  1573 ,8,2016-12-05T11:21+00:00,joseph,daequan,jones,f,19,16/07/1993, 3698  45634  2  3 , 2  roe  street  summerhill  park ,benalla,3672.0,vic,,joseph.jones@hotmail.com,separated,185,81,23,72,180,0,ankle-swelling,2012-05-17t23:42+00:00
g150900976,lois,m,francis,f,60,23/4/1960, 48  rylah  crescent  wanniassa  shopping  centre ,wanniassa,2903.0,act, 02  2714  2258 ,,diploma,other-technician,126558.0, 1734  3242  3229  3064 ,41,2020-05-07t04:45+00:00,lois,m,francis,f,54,23/04/1960, 9381  17624  1  2 , 4  wiltja  court  hodgson  place ,pearce,2607.0,act, 02  2714  2258 ,francis84@mail.com.au,not-married,198,86,21,80,194,0,major-depression,2014-09-04t19:32+00:00
a195550169,helen,janelle,duvall,f,13,3/10/2006, 7  Yambina  Crescent ,Waramanga,2611.0,ACT, 02  0484  2626 ,helen.duvall@gmail.com,secondary-school,,0.0,,0,2019-11-22T01:58+00:00,helen,janelle,duvall,f,10,03/10/2006, 3247  70124  2  3 , 5  brindisi  street  flt  6 ,mentone,3194.0,vic,,helen.duvall@gmail.com,,129,47,28,72,222,0,constipation,2016-04-13t16:56+00:00
c148596415,nicole,r,reilly,f,21,25/11/1999, 6  reilly  avenue  millers  home ,benalla,3672.0,vic, 03  5958  2519 ,moaksnjafh@mail.com.au,advance-diploma,ict-technician,104883.0, 0768  1992  7132  6894 ,2,2020-02-18t06:17+00:00,nicole,r,reilly,m,19,25/11/1999, 4108  32652  1  2 , 6  reilly  avenue  millers  home ,benalla,3672.0,vic,,moaksnjafh@mail.com.au,not-married,197,74,19,77,150,0,left-abdomenal-muscle-pain-due-to-strain.,2018-01-01t08:19+00:00
f156507232,meng,wess,cobb,f,32,3/11/1988, 15  valley  close  indi , thredbo  village ,2625.0,nsw, 02  5495  5360 ,cobb48@mail.com,senior-secondary-school,clerks,42955.0, 5435  0417  2066  8908 ,11,2018-04-03t02:46+00:00,meng,wess,cobb,f,26,03/11/1988, 2905  44150  2  2 , 32  valley  drive  koorooya ,tamworth,,nsw,,cobb48@mail.com,not-married,186,99,28,81,173,0,incipient-bilateral-cataracts,2014-11-24t24:51+00:00
i173124100,justin,pirie,hendrix,m,31,5/8/1985, 28  Alexander  Avenue , Bateau  Bay ,2261.0,NSW, 02  3592  4533 ,hendrix46@hotmail.com,certificate-i,health-support-worker,69036.0, 7332  1154  9906  1749 ,16,2016-11-24T20:08+00:00,justin,pirie,hendrix,m,29,05/08/1985, 1001  53856  2  1 , 80  the  esplanade  colonial  townhouse ,darwin,,nt,,,married,184,87,25,83,210,0,pericardial-effusion,2014-07-18t05:27+00:00
i103721778,rebecca,m,fox,f,49,12/10/1971, 17  mallam  crescent  john  hawkins  court , alice  springs ,870.0,nt, 08  3460  5808 ,fox25@aol.com,certificate-iii,ict-technician,88671.0, 4535  0044  3398  1032 ,30,2020-03-12t06:59+00:00,rebecca,m,fox,f,40,12/10/1971, 4423  95130  2  1 , 556  middle  road  top  camp ,maningrida,822.0,nt,,,not-married,192,140,37,76,156,0,thinning-fingernails,2014-08-04t04:20+00:00
d135912598,cynthia,,johnson,f,13,3/9/2004, 8  black  lead  road  brinjarry ,gulgong,2852.0,nsw, 02  5026  4548 ,cynthia71@yahoo.com,senior-secondary-school,casual-worker,-9999.0, 6170  6081  6574  5941 ,3,2017-03-27T08:32+00:00,cynthia,mcmasters,johnson,f,12,03/09/2004, 1953  71746  2  3 , 60  waratah  way  melrose  clinic ,wodonga,3690.0,vic,,cynthia71@yahoo.com,,155,47,19,73,188,0,hypothyroidism,2016-03-19t04:19+00:00
i128693679,casey,beatrice,upright,f,77,25/8/1943, 90  baum  road  hillcrest ,ryanston,3992.0,vic,,,certificate-i,re-tired,, 9321  7387  3759  8394 ,45,2020-07-15t12:05+00:00,casey,beatrice,upright,f,73,25/08/1943, 2120  78937  1  1 , 90  baum  road  hillcrest ,ryanston,3992.0,vic,,maedsmrean@aol.com,married,184,139,41,73,48,0,gastroesophogeal-reflux-disease,2016-09-02t07:16+00:00
b162958915,brittany,allison,thomas,f,43,20/3/1977, 1  barramundi  drive  dundee  downs ,daly,822.0,nt, 08  1832  3651 ,thomas.brittany@yahoo.com,certificate-ii,engineering-worker,, 6216  1049  7795  1990 ,24,2020-04-15t08:31+00:00,brittany,allison,thomas,f,39,20/03/1977, 6212  49143  2  2 , 1  barramundi  drive  dundee  downs ,daly,822.0,nt, 08  1832  3651 ,,married,177,139,44,78,183,0,benign-prostatic-hyperplasia,2016-06-14t09:03+00:00
d102319879,john,walter,hull,f,25,14/3/1995, 7  springfield  avenue  carinthia , potts  point ,2011.0,nsw, 02  9488  8419 ,irbrkcqnka@aol.com,advance-diploma,legal-professional,119147.0, 9078  4797  1773  7121 ,6,2020-05-08t23:05+00:00,john,walter,hull,f,20,14/03/1995, 7384  39006  1  3 , 6  wark  street  birrell  court ,hughes,2605.0,act, 02  5000  2490 ,irbrkcqnka@aol.com,not-married,199,-99,28,70,73,0,loss-of-appetite,2015-01-16t02:53+00:00
c129542380,christiane,barbour,dawkins,f,49,6/8/1971, 129  brookfield  road  iona  village ,kenmore,4069.0,qld, 07  5649  7179 ,christiane.dawkins@aol.com,diploma,construction-worker,74832.0, 0707  6982  7239  0866 ,30,2020-03-01t20:49+00:00,christiane,barbour,dawkins,f,44,06/08/1971, 4748  32730  2  1 , 2460  frankston-flinders  road  western  port  garde ,bittern,3918.0,vic, 03  2978  2389 ,christiane.dawkins@aol.com,married-de-facto,189,145,40,75,130,0,low-energy,2015-01-18t23:31+00:00
c146205108,frank,carlos,hodge,m,30,20/1/1990, 71  lorraine  avenue  berkeley  vlge , berkeley  vale ,2261.0,nsw, 02  8815  1960 ,frank49@mail.com.au,bachelor-degree,ict-professional,145103.0, 5977  6668  6296  0110 ,11,2020-02-22t05:12+00:00,frank,,hodge,m,25,20/01/1990, 5174  93799  2  3 , 492  great  western  highway  danville ,faulconbridge,2776.0,nsw,,frank49@mail.com.au,not-married,170,122,42,80,197,1,nocturnal-nystagmus,2015-07-05t23:44+00:00
f152402905,rolland,patrick,hamm,f,32,3/3/1988, 32  swann  road  highpoint ,taringa,4068.0,qld, 07  0024  5148 ,hamm92@hotmail.com,diploma,other-technician,-9999.0, 6074  4013  4849  3658 ,13,2020-03-26t10:31+00:00,rolland,patrick,hamm,f,26,03/03/1988, 1992  51361  2  1 , 32  swann  road  highpoint ,taringa,,qld, 07  0024  5148 ,hamm92@hotmail.com,not-married,187,106,30,75,148,0,atrial-fibrillation,2014-09-05t24:28+00:00
d132374314,sharon,reddick,smith,f,71,15/2/1949, 48  jamiesons  road  acacia  hill ,margate,7054.0,tas, 03  7992  6541 ,sharon.smith@mail.com.au,certificate-iv,ict-technician,139878.0, 1554  8380  8337  8304 ,43,2011-05-14t01:26+00:00,sharon,reddick,smith,f,69,15/02/1949, 2181  50758  1  1 , 48  jamiesons  road  acacia  hill ,margate,7054.0,tas, 03  7992  6541 ,sharon.smith@mail.com.au,not-married,182,103,31,75,215,1,dizzyness---vertigo,2018-12-10t03:06+00:00
e128811841,adam,frank,king,f,42,8/8/1978, 1  ridge  road  spring  banks ,garvoc,3265.0,vic, 03  5467  8259 ,adam.king@aol.com,diploma,other-worker,94705.0, 2475  4057  6012  7169 ,19,2016-10-17t18:06+00:00,adam,,king,f,41,08/08/1978, 5900  20739  1  1 , 1  ridge  road  spring  banks ,garvoc,3265.0,vic,,adam.king@aol.com,married,180,145,44,73,174,0,constipation,2019-02-24t11:32+00:00
e127594507,william,eugene,meeks,m,59,22/4/1961, 47  eve  road  resthaven  retire , bellevue  heights ,5050.0,sa, 08  8642  7777 ,,certificate-iv,ict-technician,123082.0, 2076  1301  6174  3058 ,31,2011-09-08t21:57+00:00,william,eugene,meeks,m,53,22/04/1961, 3577  34963  2  2 , 47  eve  road  resthaven  retire , bellevue  heights ,,sa,,william87@mail.com,married-de-facto,185,123,35,75,154,0,medial-meniscus-tear,2014-05-17t14:40+00:00
c159882882,heather,e,nix,f,26,13/7/1993, 143  Eastbourne  Road ,Rosebud,3939.0,VIC, 03  6533  2602 ,heather.nix@gmail.com,secondary-school,farm-worker,17334.0, 4336  4993  8006  1519 ,8,2019-09-03T14:31+00:00,heather,e,nix,f,23,13/07/1993, 4562  26550  2  3 , 4  bay  vista  lane  the  belongil  street , byron  bay ,,nsw, 02  9803  9745 ,heather.nix@gmail.com,married,196,133,34,77,274,0,fall,2016-05-06t07:36+00:00
e118820738,mark,claude,robinson,m,39,8/9/1979, 13  Hastings  Road ,Bogangar,2488.0,NSW, 02  0765  6119 ,mark.robinson@mail.com,certificate-ii,other-service-worker,65220.0, 7838  6631  3543  8457 ,22,2018-10-16T23:23+00:00,mark,claude,robinson,m,34,08/09/1979, 4844  95549  2  1 , 522  pacific  highway  park  trees  village , lake  munmorah ,2259.0,nsw, 02  3990  0558 ,,married,166,102,37,76,118,0,ankle-swelling,2013-09-27t12:53+00:00
b186096844,james,alexander,granojr,f,38,18/11/1982, 1  opal  field  road  sheepyard ,grawin,2832.0,nsw, 02  5062  5730 ,james54@mail.com.au,advance-diploma,other-technician,99509.0, 3130  3746  0141  2301 ,19,2020-07-06t21:37+00:00,james,alexander,granojr,f,36,18/11/1982, 6109  49915  2  1 , 1  opal  field  road  sheepyard ,grawin,,nsw, 02  5062  5730 ,james54@mail.com.au,married,169,115,40,73,141,1,low-energy,2018-05-25t12:35+00:00
i122031495,cassio,lavone,williamson,f,54,9/12/1966, 25  eyre  street  lake  albert  medical  centre , wagga  wagga ,2650.0,nsw, 02  1659  8989 ,williamson21@hotmail.com,diploma,other-technician,125221.0, 6873  6962  9139  3581 ,35,2020-03-17t09:48+00:00,cassio,lavone,williamson,f,48,09/12/1966, 5245  72650  1  1 , 1  beemelon  road  minmi ,burraboi,2732.0,nsw,,williamson21@hotmail.com,divorced,197,140,36,76,178,0,baker's-cyst---l-knee,2014-11-22t11:38+00:00
f174126437,jeremy,dupree,morgan,f,11,27/12/2008, 52  Kalang  Road , Edensor  Park ,2176.0,NSW, 02  7075  8279 ,morgan18@yahoo.com,secondary-school,,0.0,,0,2019-11-23T22:14+00:00,jeremy,dupree,morgan,f,11,27/12/2008, 1823  68045  2  2 , 9  lochinvar  place  st  agnes  village , port  macquarie ,2444.0,nsw,,,,142,57,28,78,93,0,cerebral-stroke,2019-01-02t03:38+00:00
b188247400,brandon,russell,stallings,m,20,17/8/1997, 19  touchstone  lane  touchstone ,gawler,7315.0,tas, 03  9914  2522 ,brandon76@gmail.com,secondary-school,shop-assistent,6856.0, 8794  4174  7260  8231 ,4,2017-12-15T05:15+00:00,brandon,,stallings,m,16,17/08/1997, 5172  89321  1  2 , 13  malonga  drive  malonga  park ,shorewell,7320.0,tas, 03  9914  2522 ,,not-married,175,97,31,70,129,0,coughing-due-post-nasal-drip,2015-12-19t04:08+00:00
e110445563,donald,remone,ross,m,9,4/10/2007, Wingellina  Comm ,Petermann,800.0,NT, 08  1442  0171 ,ross.donald@hotmail.com,secondary-school,,0.0,,0,2016-01-18T23:37+00:00,donald,remone,ross,f,7,04/10/2007, 4181  83591  1  3 , 46  northview  drive  kalinga ,leopold,3224.0,vic,,,,129,24,14,81,136,0,fall-with-loss-of-consciousness,2014-10-12t12:03+00:00
g108190266,catherine,,arrington,f,16,28/4/2002, 183  Trower  Road ,Alawa,810.0,NT, 08  7668  7432 ,catherine.arrington@mail.com.au,senior-secondary-school,casual-worker,0.0, 7680  6316  0750  8595 ,1,2018-04-07T23:39+00:00,catherine,bailey,arrington,f,13,28/04/2002, 7314  75347  1  3 , 153  barrabool  road  bwon  c/park  pepper ,belmont,,vic,,catherine.arrington@mail.com.au,,152,62,26,76,194,1,atrial-fib,2015-10-27t19:28+00:00
