ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email,calculated_bmi
h145968120,28, 1847  16770  2  2 ,separated,199,-99,20,79,164,0,ulcers,2019-11-04t09:05+00:00,29,advance-diploma,legal-professional,126408.0, 5742  0116  6002  7208 ,10,2020-04-17t05:25+00:00,rec-85567,robert,edward,shifflett,f,16/08/1991, 468  parkwood  road  the  cottage ,macgregor,2615.0,act, 02  1166  2703 ,robert.shifflett.mail.com,-24.999368702810536
h106320684,14, 7940  25762  1  3 ,married,156,-99,25,75,153,0,vomiting,2014-03-09t11:54+00:00,20,advance-diploma,education-professional,-9999.0, 8842  2821  2890  0076 ,1,2020-05-07t12:33+00:00,rec-14398,thelma,english,moss,f,09/01/2000, 1  lanyana  way  noosa  professional  centre , noosa  heads ,4567.0,qld, 07  7017  6271 ,mtmtlgrpli@yahoo.com,-40.68047337278106
h107276708,54, 4431  48965  1  1 ,married,174,-99,45,77,112,1,fall.,2018-05-02t18:48+00:00,56,diploma,other-worker,-9999.0, 7190  3312  8659  4757 ,37,2020-03-09t01:24+00:00,rec-50599,cora,lysette,cohens,f,05/08/1964, 13  northcott  drive  div  adfa ,campbell,2612.0,act, 02  4783  9857 ,cora70@gmail.com,-32.69916765755053
f157318710,31, 3236  53149  1  2 ,married,180,-99,41,76,148,0,constipation,2015-02-04t23:32+00:00,36,secondary-school,construction-labourer,-2759.3173681660537, 3741  2526  2992  0429 ,17,2020-02-04t01:21+00:00,rec-30640,josephine,gray,melton,f,19/10/1984, 53  douglas  street  mitchell  highway ,geurie,2831.0,nsw, 02  3701  7815 ,josephine.melton@aol.com,-30.555555555555554
e148911236,24, 9165  97172  2  2 ,married,187,-99,30,84,156,0,other--tremor,2017-11-23t03:37+00:00,27,certificate-ii,personal-services-worker,60231.0, 6282  4694  8835  9977 ,8,2020-07-16t24:29+00:00,rec-55888,shatoyia,lando,bobrovnikov,f,18/03/1993, 204  alice  street  the  garden ,brisbane,4000.0,qld, 07  6646  3214 ,bobrovnikov76@mail.com.au,-28.310789556464293
i161554483,10, 8652  83921  1  2 ,married,132,-99,16,76,156,0,fall,2020-01-05t12:08+00:00,10,primary-school,,0.0,,0,2020-05-17t17:37+00:00,rec-24750,sheilah,dawn,stocks,f,05/12/2010, 39  willowbank  road  linden  vale ,gisborne,3437.0,vic, 03  8482  9626 ,sheilah.stocks@hotmail.com,-56.81818181818181
c113572089,13, 3856  31212  1  2 ,separated,158,-99,28,73,189,0,coughing,2014-05-06t06:40+00:00,19,certificate-iii,other-worker,69971.0, 1256  7497  7241  9900 ,0,2020-02-10t21:49+00:00,rec-67708,monica,sue,emanuelson,f,06/09/2001, 40  parkinson  street  the  dairy ,rylstone,2849.0,nsw, 08  6860  4133 ,emanuelson82@mail.com,-39.65710623297548
i107036931,23, 7485  66293  2  3 ,married-de-facto,179,-99,28,73,260,0,nausea,2018-03-26t19:22+00:00,25,advance-diploma,ict-technician,83243.69623829162, 0756  2698  2931  7685 ,6,2020-01-15t16:12+00:00,rec-70665,mikal,vaughn,smith,f,31/08/1995, 349  wetheron  road  bon  accord ,gayndah,4625.0,qld,,mikal.smith@hotmail.com,-30.8979120501857
b107887029,33, 3490  53318  1  2 ,not-married,185,-99,34,84,195,0,crampy,2015-02-23t03:34+00:00,38,certificate-iii,construction-worker,79869.0, 3532  3723  3143  0301 ,19,2020-04-09t03:17+00:00,rec-2865,david,ray,davis,m,09/02/1982, 1  hardcastle  road  finis  river , dundee  beach ,840.0,nt, 08  8506  3425 ,david6@mail.com.au,-28.926223520818112
e124613786,10, 5113  30687  2  3 ,married,148,-99,23,74,238,0,atrial-fibrillation-with-rvr,2020-01-16t17:38+00:00,10,primary-school,,0.0,,0,2020-01-09t08:24+00:00,rec-82077,rakeem,,cohen,f,06/01/2010, 19  crozier  circuit  urambi  vlge ,kambah,2902.0,act, 02  4769  0420 ,rakeem.cohen@mail.com,-45.19722425127831
e124613786,10, 5113  30687  2  3 ,married,148,-99,23,74,238,0,atrial-fibrillation-with-rvr,2020-01-16t17:38+00:00,6,primary-school,,0.0,,0,2016-05-22T13:43+00:00,rec-82077,rakeem,,cohen,f,06/01/2010, 19  crozier  circuit  urambi  vlge ,kambah,2322.0,act, 02  9952  9546 ,rakeem.cohen@mail.com,-45.19722425127831
e162697081,30, 2252  98690  1  1 ,married-de-facto,199,-99,18,81,66,0,left-knee-pain,2016-07-25t02:20+00:00,34,certificate-i,other-service-worker,78560.0, 5738  7633  4853  0622 ,14,2019-04-23t22:16+00:00,rec-55264,scott,m,cline,m,18/08/1986, 36  alexandra  street  regal  lodge  stables ,berry,2535.0,nsw, 02  3969  9498 ,scott26@mail.com.au,-24.999368702810536
c163068654,20, 8809  26370  2  3 ,separated,196,-99,17,76,198,0,sweating,2015-01-15t18:56+00:00,25,graduate-diploma,art-media-professional,-9999.0, 1443  9171  4820  2908 ,6,2020-06-10t05:31+00:00,rec-85455,kirk,zimbalist,blanton,f,09/04/1995, 25  taylor  street  green  desert ,keith,5267.0,sa, 08  7407  1364 ,blanton.kirk@mail.com.au,-25.770512286547273
c119544241,45, 7978  80071  1  2 ,married,165,-99,20,76,173,0,respiratory-arrest--death-resulting,2011-05-18t14:56+00:00,56,advance-diploma,ict-technician,127238.0, 7010  0221  8341  6945 ,29,2012-04-03t11:30+00:00,rec-20069,woo-jung,venise,james,f,19/02/1964, 30  waveney  street  ainslie  house , launceston  south ,7249.0,tas, 03  3656  8386 ,james.woo-jung.aol.com,-36.36363636363637
b121642517,59, 9081  34078  2  1 ,married,183,-99,22,73,186,0,hypoxia,2013-06-05t21:11+00:00,66,graduate-diploma,health-professional,95152.0, 7892  7330  4402  3713 ,46,2019-09-23t24:48+00:00,rec-32231,andrew,lee,thwing,m,31/07/1954, 42  capital  avenue  highvale  vlge , glen  waverley ,3227.0,vic,,thwing.andrew@yahoo.com,-29.56194571351787
f142588417,13, 8995  44967  1  2 ,not-married,152,-99,31,80,197,0,no.9---drowsiness---has-gone-from-intermittent-to-daily/persistent,2016-07-25t14:58+00:00,17,senior-secondary-school,casual-worker,0.0, 3772  4072  6450  9758 ,2,2020-04-04t19:23+00:00,rec-96758,ryan,neal,lee-pemberton,m,02/10/2003, 193  lockwood  road  rose  lee , kangaroo  flat ,3555.0,vic, 02  1563  7791 ,ryan4@mail.com,-42.84972299168975
b101492845,31, 6893  23363  2  1 ,married,165,-99,24,69,125,0,urinary-tract-infection,2016-12-05t17:27+00:00,35,certificate-iv,automotive-worker,58773.64102949922, 0745  0307  8100  2433 ,11,2015-06-17t15:25+00:00,rec-84741,robert,lewis,morrison,f,29/03/1985, 129  maidens  brush  road  henry  kendall  vlge , gosford  north ,2250.0,nsw, 02  8606  2836 ,morrison54@hotmail.com,-36.36363636363637
g105588061,11, 6476  18887  2  2 ,married,145,-99,22,73,170,0,infection-following-melanoma-removal,2018-08-24t21:04+00:00,13,secondary-school,,0.0,,0,2020-07-18t16:17+00:00,rec-12664,wayne,louis,giocondi,m,26/12/2007, 10  frank  street  lucaya , coolum  beach ,4573.0,qld, 07  4764  8816 ,mndmlhaccd@aol.com,-47.08680142687277
i175527174,10, 5903  92521  2  2 ,married,143,-99,13,66,119,0,back-pain,2015-05-08t07:06+00:00,15,secondary-school,,0.0,,0,2020-06-20t18:18+00:00,rec-62214,wendra,joy,tyger,f,18/03/2005, 17  university  avenue  palm  plaza ,palmerston,4221.0,nt, 08  7758  8361 ,wendra.tyger@mail.com,-48.41312533620226
e195724822,58, 7852  72381  1  2 ,separated,165,-99,54,74,132,0,mid-back-pain,2016-08-04t13:54+00:00,62,certificate-i,clerks,41861.0, 1117  5847  2187  6406 ,39,2016-01-03t11:19+00:00,rec-49262,ann,marie,wiker,f,30/01/1958, 40  kaolin  road  virginia  estate ,virginia,835.0,nt, 08  0274  0569 ,rjshopkrnb@gmail.com,-36.36363636363637
h152107044,38, 5360  82335  1  1 ,married,177,-99,28,75,187,0,nausea,2012-06-27t03:25+00:00,46,certificate-i,personal-services-worker,36624.0, 8043  1381  8023  4264 ,25,2018-06-05t19:27+00:00,rec-5108,jarrett,dion,rolls,m,20/10/1974, 55  wetherby  road  flea , howard  springs ,2333.0,nt, 02  0907  9824 ,jarrett.rolls@gmail.com,-31.600114909508758
g186191628,57, 3651  51479  1  2 ,married-de-facto,199,-99,30,71,227,0,pleurisy,2014-11-14t21:59+00:00,63,certificate-ii,other-service-worker,-9999.0, 2831  7818  6567  0281 ,41,2017-03-14t22:15+00:00,rec-68779,betty,renee,williamson,m,02/07/1957, 399  warrigal  road  yard  10 , cheltenham  north ,3192.0,vic, 03  7903  0288 ,williamson.betty@aol.com,-24.999368702810536
h114407185,58, 6426  92807  2  2 ,married-de-facto,170,-99,45,76,152,0,low-energy,2017-11-02t06:40+00:00,61,certificate-ii,automotive-worker,63366.0, 6302  4351  9557  8125 ,35,2013-08-11t05:32+00:00,rec-75124,kendall,earl,mijajlovic,f,10/07/1959, 1  roberts  road  bynde  haven , dundee  beach ,840.0,nt, 08  4761  2905 ,golglrfmqh@hotmail.com,-34.256055363321806
c116980535,32, 1754  84831  1  2 ,not-married,169,-99,46,75,191,0,left-foot-second-toe-resection,2018-12-15t05:23+00:00,34,certificate-i,personal-services-worker,50552.0, 2967  6556  9448  7455 ,14,2019-02-27t21:18+00:00,rec-28903,joseph,b,rosa,f,01/12/1986, 179  coombabah  road  harbour  landing , runaway  bay ,4216.0,qld, 07  1808  4760 ,joseph.rosa@yahoo.com,-34.6626518679318
g103687819,55, 6874  87720  2  2 ,not-married,168,-99,37,79,158,0,bursitis,2014-11-14t10:57+00:00,61,advance-diploma,ict-technician,123365.0, 9455  2672  7539  4287 ,40,2018-05-25t24:12+00:00,rec-97637,william,stanley,eaton,f,16/04/1959, 1244  appin  (south)  road  cloverlea , appin  south ,800.0,vic, 08  0680  5153 ,eaton36@mail.com.au,-35.0765306122449
e109110738,51, 2772  22814  2  1 ,not-married,165,-99,46,78,63,0,episodes-of-crying,2016-03-07t10:02+00:00,55,secondary-school,other-labourer,12401.0, 0650  9410  8810  5169 ,36,2020-01-10t22:26+00:00,rec-11622,patricia,mann,symister,f,16/07/1965, 380  pembertons  road  windara , vite  vite ,3777.0,vic, 03  4838  2813 ,patricia1.gmail.com,-36.36363636363637
g194385582,13, 1881  58624  2  2 ,divorced,171,-99,23,79,160,0,sweating,2015-08-04t12:45+00:00,20,senior-secondary-school,other-clerical-worker,20378.032130266027, 8480  5167  4464  9618 ,1,2020-03-08t21:29+00:00,rec-16825,mary,c,maness,f,01/01/2000, 4  muller  street  salamander  bay  vlge , salamander  bay ,2317.0,nsw,,maness.mary.aol.com,-33.856571252693136
g194385582,13, 1881  58624  2  2 ,divorced,171,-99,23,79,160,0,sweating,2015-08-04t12:45+00:00,19,senior-secondary-school,other-clerical-worker,-9999.0, 8480  5167  4464  9618 ,1,2019-06-16T08:06+00:00,rec-16825,mary,c,maness,f,01/01/2000, 4  muller  street  salamander  bay  vlge , salamander  bay ,2317.0,nsw, 03  0985  6372 ,maness.mary.aol.com,-33.856571252693136
e112830325,38, 2437  44161  1  1 ,married,172,-99,38,80,102,0,blurred-vision-secondary-to-retinal-detachment,2016-02-10t03:48+00:00,42,certificate-iv,other-technician,85574.82088192739, 0061  1714  3416  0283 ,23,2020-04-18t15:35+00:00,rec-14936,billy,scott,blow,m,22/04/1978, 514  kalawarra  road  henry  kendall  vlge ,wyoming,2250.0,nsw, 02  0758  0720 ,billy73@mail.com.au,-33.46403461330449
c157316306,18, 6337  66793  1  2 ,not-married,187,-99,23,76,191,0,bronchitis/coughing,2017-04-10t14:19+00:00,21,bachelor-degree,other-technician,129187.0, 8717  8796  9368  6184 ,2,2020-02-02t06:39+00:00,rec-3847,lori,alexis,williams,f,03/11/1999, 45  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  5624  5967 ,lori42@yahoo.com,-28.310789556464293
c157316306,18, 6337  66793  1  2 ,not-married,187,-99,23,76,191,0,bronchitis/coughing,2017-04-10t14:19+00:00,17,bachelor-degree,other-technician,129187.0, 8717  8796  9368  6184 ,2,2016-08-17T17:25+00:00,rec-3847,lori,alexis,williams,f,03/11/1999, 45  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  5624  5967 ,lori42@yahoo.com,-28.310789556464293
c151661079,49, 7099  30979  2  2 ,married,177,-99,40,82,94,0,urinary-frequency,2012-08-24t09:17+00:00,57,certificate-i,health-support-worker,74748.0, 3310  7281  5311  3746 ,38,2020-03-08t07:23+00:00,rec-24890,john,emil,lopez,m,28/02/1963, 3331  coral  road  benjamin  lagoon , humpty  doo ,840.0,nt, 08  9154  4967 ,lopez34.hotmail.com,-31.600114909508758
c128608667,21, 2523  27897  1  3 ,married,197,-99,16,74,98,0,no.9-periods-of-(drowsiness)---wanting-to-nap-in-midday,2020-04-03t12:54+00:00,21,certificate-ii,engineering-worker,81113.0, 9012  4472  7313  8870 ,2,2020-07-25t06:39+00:00,rec-97470,richard,l,beckerman,m,04/10/1999, 7  moran  street  glengarry , view  bank ,3084.0,vic, 03  3148  5186 ,oeaokbskhj@hotmail.com,-25.509546754618775
g155328714,75, 5975  15493  1  2 ,not-married,183,-99,22,74,115,0,torn-retina,2015-02-22t08:28+00:00,80,certificate-i,re-tired,-9999.0, 9447  1577  9576  5162 ,45,2020-01-23t23:23+00:00,rec-92155,john,o,payne,f,17/09/1940, 23  temperley  street  villa  25  melaleuca  garden ,nicholls,2913.0,act, 02  4875  4901 ,john.payne@aol.com,-29.56194571351787
i186863659,34, 4130  20173  1  1 ,not-married,185,-99,23,74,216,0,right-knee-pain,2016-07-15t07:50+00:00,38,bachelor-degree,health-professional,122118.0, 2781  5847  2551  2997 ,19,2020-03-25t13:02+00:00,rec-45177,claude,wesley,downing,m,06/05/1982, 1  james  cook  drive  ocean  free  estate , kewarra  beach ,4879.0,qld, 07  6246  4403 ,downing29@gmail.com,-28.926223520818112
a172217812,31, 3303  24110  1  1 ,not-married,188,-99,36,69,197,0,narrow-angle-closure-of-bilateral-eyes,2013-09-11t23:43+00:00,38,certificate-i,personal-services-worker,58035.0, 4621  9293  3768  2981 ,19,2020-04-23t06:18+00:00,rec-1325,margie,r,packer,f,06/04/1982, 3  upland  court  sunrise  hills ,cooroy,4563.0,qld, 07  2030  6944 ,margie97@hotmail.com,-28.010411951109102
e131846748,50, 2924  63735  1  1 ,married,175,-99,17,74,106,0,drowsiness,2013-03-08t01:45+00:00,57,certificate-ii,engineering-worker,-9999.0, 2624  0729  9517  6639 ,38,2020-04-19t21:41+00:00,rec-13712,jason,john,applewhite,m,16/09/1963, 1  hardcastle  road  finis  river , dundee  beach ,840.0,nt, 08  0385  3612 ,pfqcojppsr@hotmail.com,-32.326530612244895
a189194516,16, 3973  87955  1  3 ,married,174,-99,21,76,220,0,diabetes,2014-08-14t23:44+00:00,22,diploma,ict-technician,103107.0, 4368  8619  1620  8534 ,3,2020-04-14t11:08+00:00,rec-52601,peggy,lanior,jacobs,m,16/01/1998, 73  tuckfield  street  kenton  cottage , ocean  grove ,3226.0,vic, 03  3998  4887 ,jacobs.peggy@mail.com.au,-32.69916765755053
f104173115,14, 5394  88298  2  3 ,not-married,156,-99,29,73,167,0,blurred-vision,2016-11-18t03:30+00:00,18,senior-secondary-school,casual-worker,0.0, 8532  4571  7209  1138 ,1,2020-07-25t12:07+00:00,rec-439,chad,michael,ham,m,14/12/2002, 141  bril  bril  road  aboriginal  philosophy  farm , rollands  plains ,4670.0,nsw, 02  3150  5384 ,ham20@gmail.com,-40.68047337278106
c142658624,63, 3558  43223  2  1 ,not-married,170,-99,36,75,218,0,hypercholesterolemia-(pt-observed-to-have-high-cholesterol,2015-11-01t13:36+00:00,68,masters-degree,general-manager,199622.0, 4241  9487  4365  3461 ,48,2019-10-13t24:21+00:00,rec-88388,brandon,gene,nwokolo,f,18/09/1952, 84  alvie  road  grantville  glen ,grantville,3984.0,vic, 03  1723  8960 ,nwokolo.brandon@aol.com,-34.256055363321806
c160690442,60, 8073  10634  2  2 ,not-married,185,-99,29,74,257,0,rash,2014-06-21t01:20+00:00,66,masters-degree,education-professional,144002.0, 0584  1467  6652  1741 ,45,2018-07-01t11:02+00:00,rec-77241,eric,mark,curry,f,15/04/1954, 105  old  dry  creek  road  tina  vale , bonnie  doon ,3355.0,vic, 03  6658  5909 ,curry51@hotmail.com,-28.926223520818112
d118709340,27, 9176  72685  1  1 ,married,181,-99,17,77,114,0,l-hip-pain,2012-08-20t12:26+00:00,35,advance-diploma,ict-technician,133219.0, 0003  0542  2828  7645 ,16,2020-03-10t23:26+00:00,rec-62722,paul,r,rice,m,27/04/1985, 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa, 08  0649  6864 ,paul.rice@hotmail.com,-30.218857788223804
e183255123,74, 5381  98217  2  1 ,married,189,-99,25,78,171,0,agitation/irritability,2018-10-26t03:19+00:00,76,secondary-school,shop-assistent,-9999.0, 8346  8854  0521  9524 ,52,2015-04-06t12:35+00:00,rec-69770,timothy,thomas,horne,f,12/04/1944, 37  sanctuary  drive  fairfield  waters ,idalia,4811.0,qld, 07  2887  9738 ,horne.timothy@mail.com,-27.714789619551524
f153414798,31, 8484  69308  2  2 ,widowed,175,-99,19,73,86,0,low-energy,2017-02-08t12:36+00:00,34,secondary-school,other-labourer,12786.0, 7781  6276  0745  5029 ,15,2020-01-23t19:25+00:00,rec-83116,dennis,lee,palumbo,m,16/03/1986, 10  adrian  place  the  view ,wishart,4122.0,qld, 07  2176  9994 ,palumbo.dennis@gmail.com,-32.326530612244895
b176369561,17, 8031  86973  2  3 ,married,177,-99,19,77,125,0,osteoarthritis-right-hip,2016-09-25t02:52+00:00,22,advance-diploma,other-technician,129262.0, 5475  6559  5360  3027 ,3,2020-04-10t16:40+00:00,rec-9351,alphonso,allan,white,m,12/09/1998, 371  cornells  road  sabie ,hernani,2453.0,nsw, 02  8640  1010 ,hqlhgnslar@gmail.com,-31.600114909508758
d112485641,56, 6212  76387  1  2 ,married-de-facto,182,-99,42,78,158,0,dizziness,2014-09-15t04:31+00:00,62,certificate-ii,construction-worker,50624.0, 5194  0544  9199  6689 ,43,2020-06-14t19:23+00:00,rec-17780,terrance,cary,brown,m,14/11/1958, 5  bias  avenue  nareen  garden , bateau  bay ,2261.0,nsw, 02  2756  1704 ,terrance.brown@gmail.com,-29.887694722859557
g170801599,6, 7731  44394  1  3 ,married,114,-99,22,70,254,0,pneumonia,2015-05-23t20:02+00:00,11,primary-school,,-9999.0,,0,2020-02-08t23:08+00:00,rec-95459,antwon,eugene,battle,f,08/03/2009, 47  mitchelson  road  rydal  bank ,westbury,7267.0,tas, 03  4274  0863 ,antwon36@hotmail.com,-76.17728531855957
g106174071,54, 8732  39209  2  1 ,married-de-facto,177,-99,39,73,260,1,constipation,2015-06-17t24:37+00:00,59,graduate-certificate,art-media-professional,-9999.0, 9448  3202  4176  9649 ,36,2016-10-17t19:05+00:00,rec-23496,mary,banks,whittington,f,21/03/1961, 35  lindsay  road  villa  79 ,buderim,4556.0,qld, 07  2671  0352 ,qsnngpfijm@mail.com,-31.600114909508758
f134290476,67, 3871  70033  1  2 ,not-married,172,-99,47,75,138,1,high-bp,2012-04-22t24:36+00:00,75,masters-degree,art-media-professional,129710.0, 3223  1176  1181  5923 ,56,2020-07-26t18:49+00:00,rec-68168,eugenia,allen,daniels,f,24/09/1945, 18  barrett  street  catherine  mcauley  nursing  home ,wembley,6014.0,wa, 02  2482  4593 ,eugenia91@yahoo.com,-33.46403461330449
i168079845,44, 3687  10593  2  2 ,not-married,181,-99,18,79,122,0,death,2014-12-21t06:01+00:00,50,graduate-certificate,health-professional,97464.29357583744, 9896  4667  1333  2068 ,31,2020-02-24t23:48+00:00,rec-93021,clarence,curtis,johnson,f,19/08/1970, 7  james  street  mellour  court ,gilberton,5081.0,sa, 08  5751  8098 ,clarence76@gmail.com,-30.218857788223804
f119003114,56, 1636  46095  1  1 ,widowed,169,-99,37,72,116,0,constipation,2014-01-25t04:53+00:00,62,certificate-iv,ict-technician,118344.0, 5329  8049  1976  1830 ,43,2020-04-13t08:09+00:00,rec-45836,jonah,trevon,yoho,m,06/08/1958, 212  westella  drive  westella  house ,ulverstone,7315.0,tas, 03  5653  8842 ,jonah6@aol.com,-34.6626518679318
d176876547,48, 9961  10814  1  1 ,not-married,165,-99,34,74,151,0,left-hip-fracture,2016-11-05t16:19+00:00,52,certificate-iv,automotive-worker,95778.0, 7651  9110  4196  9217 ,33,2020-06-14t17:52+00:00,rec-12331,kimberly,lucas,nowik,f,24/10/1968, 60  goddards  road  hillcrest ,hernani,2453.0,nsw, 02  9261  8573 ,kimberly74@mail.com,-36.36363636363637
g157538720,23, 5912  74481  1  2 ,married,177,-99,31,77,183,0,urinary-frequency,2017-09-01t14:26+00:00,26,secondary-school,taxi-driver,-9999.0, 4731  8610  4828  0101 ,7,2020-04-13t24:04+00:00,rec-42077,donald,bobby,allen,m,04/05/1994, 55  fischers  lane  ellaswood  street ,ellaswood,3875.0,vic, 03  9793  9908 ,hgbioaihpa@yahoo.com,-31.600114909508758
g157538720,23, 5912  74481  1  2 ,married,177,-99,31,77,183,0,urinary-frequency,2017-09-01t14:26+00:00,22,secondary-school,taxi-driver,16012.0, 4731  8610  4828  0101 ,7,2016-05-18T18:02+00:00,rec-42077,donald,bobby,allen,m,04/05/1994, 55  fischers  lane  ellaswood  street ,ellaswood,3875.0,vic, 03  9793  9908 ,hgbioaihpa@yahoo.com,-31.600114909508758
g164210221,28, 6481  48616  1  2 ,married,190,-99,34,72,206,0,gerd,2017-02-17t02:30+00:00,31,advance-diploma,education-professional,-9999.0, 2326  2100  7989  6366 ,12,2020-03-08t04:40+00:00,rec-81107,justin,harry,greene,f,24/06/1989, 3  lakeside-mandurah  road  homesite ,baldivis,6171.0,wa, 08  9207  4230 ,justin89@hotmail.com,-27.423822714681442
b105785482,61, 6706  56748  2  1 ,married-de-facto,168,-99,23,73,123,0,blurry-vision,2016-01-25t24:45+00:00,65,graduate-diploma,legal-professional,87816.48034291354, 7039  5257  4211  3268 ,46,2020-02-02t02:19+00:00,rec-37723,brian,lee,harrell,m,14/03/1955, 64  smith  street  manolas  bldg ,darwin,800.0,nt, 08  4371  7377 ,brian6@yahoo.com,-35.0765306122449
g151213303,4, 4994  69429  1  3 ,married,104,-99,16,78,190,0,coughing,2012-06-19t07:50+00:00,12,secondary-school,,0.0,,0,2020-01-06t18:53+00:00,rec-13021,kimberly,anjuli,boysen,f,09/12/2008, 146  thewlis  road  cularma ,pakenham,3810.0,vic, 07  3014  7318 ,boysen.kimberly.yahoo.com,-91.53106508875739
g151213303,4, 4994  69429  1  3 ,married,104,-99,16,78,190,0,coughing,2012-06-19t07:50+00:00,12,secondary-school,,0.0,,0,2020-01-06t18:53+00:00,rec-13021,kimberly,anjuli,boysen,f,09/12/2008, 146  thewlis  road  cularma ,pakenham,3810.0,vic, 07  3014  7318 ,boysen.kimberly.yahoo.com,-91.53106508875739
e160283861,62, 3603  14900  2  2 ,married-de-facto,173,-99,27,77,95,1,somnambulism,2015-08-12t12:37+00:00,67,bachelor-degree,ict-technician,71104.0, 9435  5174  7835  1606 ,45,2017-04-13t11:16+00:00,rec-8285,matthew,s,spain,m,12/05/1953, 135  crown  street  simpson  house  (the  m  mall ,wollongong,2500.0,nsw, 02  7378  8822 ,matthew.spain@gmail.com,-33.07828527515119
b164200013,8, 8946  43951  2  2 ,married,135,-99,19,80,142,0,depressed-mood,2014-06-04t09:28+00:00,14,secondary-school,,-9999.0,,0,2020-07-05t23:36+00:00,rec-51217,susan,ann,gourley,f,12/12/2006, 4475  barmah-shepparton  road  acacia  park ,bunbartha,3634.0,vic, 08  6084  5044 ,susan.gourley@mail.com,-54.32098765432098
f132559243,11, 1593  51292  2  3 ,married,139,-99,18,72,208,0,gastroephageal-reflux-disease,2016-04-02t16:48+00:00,15,secondary-school,,-9999.0,,0,2020-01-13t12:40+00:00,rec-35398,cody,richard,archuleta,m,14/02/2005, 106  maud  street  rosetta  village , victor  harbor ,4006.0,sa, 08  1335  3987 ,archuleta.cody@gmail.com,-51.23958387247038
i197034504,48, 2116  73048  2  1 ,married,172,-99,40,71,133,0,trouble-walking,2016-04-26t24:19+00:00,52,secondary-school,looking-for-employment,-2214.3405254710287, 9202  5207  3413  4776 ,33,2020-07-05t10:31+00:00,rec-45010,william,neal,overby,m,22/02/1968, 7  thomas  avenue  the  hammond  village ,hammondville,2170.0,nsw, 02  6616  0741 ,iildckqkte@aol.com,-33.46403461330449
a159791073,70, 9879  11871  1  2 ,married,181,-99,24,71,208,0,sore-back-muscles,2016-04-09t22:44+00:00,74,certificate-i,other-clerical-worker,49454.0, 9634  7186  0591  2832 ,55,2020-04-06t19:04+00:00,rec-50774,alexander,burton,quinlan,f,15/07/1946, 148  city  walk  garema  court , canberra  city ,2601.0,act, 02  6056  6032 ,quinlan97@gmail.com,-30.218857788223804
d145595336,25, 2784  15446  2  3 ,married,193,-99,17,73,72,1,arthritic-pain---right-knee,2018-12-14t01:25+00:00,27,senior-secondary-school,clerical-worker,21448.4876299853, 0736  1350  4212  4789 ,8,2020-07-17t22:57+00:00,rec-41743,shamblica,breaunah,atri,f,14/04/1993, 132  cabarita  road  the  ridge ,cabarita,2137.0,nsw, 02  5898  1477 ,atri32@gmail.com,-26.577894708582782
b186820797,64, 5566  47809  1  1 ,married,174,-99,31,78,159,0,skin-abnormality-right-facial-cheek,2017-03-05t08:16+00:00,67,secondary-school,looking-for-employment,3215.0, 3523  5835  9609  7340 ,41,2013-12-24t11:37+00:00,rec-16492,johnnie,julius,cook,m,26/01/1953, 165  bullcreek  drive  air  force  memorial  est , bull  creek ,6149.0,wa, 08  0611  2366 ,johnnie.cook@aol.com,-32.69916765755053
c107302212,14, 7504  95410  2  2 ,divorced,147,-99,36,68,177,0,vertigo,2015-05-12t15:44+00:00,19,certificate-iii,ict-technician,146459.0, 7052  8910  5617  2112 ,0,2020-06-17t14:20+00:00,rec-40407,charlotteanne,renee,sims,f,01/08/2001, 1  crackenback  ridge  creekside , thredbo  village ,2625.0,nsw, 08  0174  6751 ,charlotteanne.sims@mail.com,-45.81424406497293
i105346278,57, 4230  67714  2  1 ,divorced,183,-99,30,82,226,1,fall,2015-04-21t19:20+00:00,62,masters-degree,education-professional,-9999.0, 3776  9558  6274  0110 ,43,2020-05-07t19:29+00:00,rec-20800,emily,lobdell,mcqueen,f,08/08/1958, 10  truman  avenue  east ,riverwood,2210.0,nsw, 02  8034  3371 ,rciqjoofnl@yahoo.com,-29.56194571351787
a182567831,57, 1668  40339  2  2 ,not-married,180,-99,37,72,189,0,drowsiness,2016-09-15t22:10+00:00,62,senior-secondary-school,machinary-driver,16783.0, 5260  2291  5400  6556 ,43,2020-04-10t16:34+00:00,rec-48315,josie,briggs,foster,f,13/04/1958, 15  see  street  bargara  beach  plaza ,bargara,4670.0,qld, 07  7969  0217 ,josie16@mail.com.au,-30.555555555555554
f166353137,16, 3882  80618  1  3 ,not-married,177,-99,20,82,125,0,low-energy,2013-04-17t01:48+00:00,23,certificate-i,clerical-worker,41583.73495809555, 9062  6356  2355  0444 ,4,2020-02-15t10:08+00:00,rec-29901,tyler,rae,pinkerton,m,26/10/1997, 57  birch  road  adeline  vlge ,wyoming,2250.0,nsw, 08  7199  3763 ,pinkerton6@hotmail.com,-31.600114909508758
