ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email
e131927145,14, 3001  30160  2  3 ,not-married,143,83,40,76,206,0,syncope,2017-02-10t12:04+00:00,17,senior-secondary-school,casual-worker,0.0, 9339  0027  7695  0259 ,2,2020-03-14t04:35+00:00,rec-39719,lauren,boyce,riley,f,30/07/2003, 2  wattle  court  timberlands  estate , alligator  creek ,4740.0,qld, 07  7807  3419 ,eekomtdmpp@mail.com
c100732965,6, 9394  50122  1  2 ,married,120,27,18,69,164,0,fall,2020-02-24t05:25+00:00,6,primary-school,,0.0,,0,2020-06-04t03:35+00:00,rec-90064,gregg,bower,canter,f,21/04/2014, 24  pitnacree  road  truck  yard , east  maitland ,2323.0,nsw, 02  9299  1045 ,gregg78@gmail.com
g164690076,12, 6569  31710  2  3 ,not-married,147,53,24,76,48,0,inflammed-second-toe,2015-09-06t09:27+00:00,17,senior-secondary-school,casual-worker,0.0, 5846  7998  1578  7835 ,2,2020-01-26t21:27+00:00,rec-43758,maryann,cole,dollar,f,10/11/2003, 1  hillview  avenue  red  dog  ret ,toowoomba,4350.0,qld, 07  6817  7532 ,maryann88@aol.com
h114492213,12, 9179  54685  2  2 ,married,156,58,23,74,122,0,sinus-infection,2017-01-21t15:40+00:00,15,secondary-school,,0.0,,0,2020-04-07t14:54+00:00,rec-54284,john,patrick,lakey,m,06/12/2005, 3049  gold  coast  highway  floor  paradise  towers , surfers  paradise ,4217.0,qld, 07  1752  2937 ,scslgtlnjf@gmail.com
a144085977,13, 2257  74579  2  3 ,not-married,166,-99,24,68,165,1,fall,2015-01-10t13:38+00:00,18,senior-secondary-school,casual-worker,0.0, 6916  6592  8500  2453 ,1,2020-03-17t24:27+00:00,rec-27461,robecca,latoya,lloyd,f,29/07/2002, 11  carnaby  street  little  tinana  est ,bidwill,4213.0,qld, 07  4724  5575 ,cslroekkcl@mail.com
h153760192,10, 6494  90675  2  3 ,married,142,37,18,82,187,0,kidney-infection,2020-02-11t06:46+00:00,10,primary-school,,0.0,,0,2020-06-20t03:53+00:00,rec-54269,donald,john,cain,m,27/08/2010, 7  cowper  street  taree  carvn  park ,taree,2430.0,nsw, 02  2189  4972 ,cain.donald@yahoo.com
h153760192,10, 6494  90675  2  3 ,married,142,37,18,82,187,0,kidney-infection,2020-02-11t06:46+00:00,7,primary-school,,0.0,,0,2017-12-07T16:59+00:00,rec-54269,donald,john,cain,m,27/08/2010, 7  cowper  street  taree  carvn  park ,taree,2430.0,nsw, 02  6683  9353 ,cain.donald@yahoo.com
c174743402,12, 7482  56174  2  2 ,married,158,37,14,70,248,0,dizziness/orthostatic-hypotension,2020-05-08t11:58+00:00,12,secondary-school,,11325.49209383862,,0,2020-07-09t13:21+00:00,rec-37401,kirsten,elaine,lewis,f,13/08/2008, 80  hilton  terrace  apt  4 ,noosaville,4566.0,qld, 07  1184  8378 ,lewis.kirsten@mail.com
b146358714,15, 3852  47179  2  3 ,not-married,157,90,36,65,187,0,respiratory-tract-infection,2018-05-19t09:31+00:00,17,senior-secondary-school,casual-worker,0.0, 5274  8930  2881  5855 ,2,2020-01-07t05:11+00:00,rec-91335,david,earl,lovett,f,08/01/2003, 20  ray  avenue  ray  village ,busselton,6280.0,wa, 08  9787  9084 ,david.lovett@mail.com
a167066480,10, 9072  96369  1  3 ,married,131,31,18,76,220,0,epidural-for-pain-associated-with-spinal-stenosis,2016-04-27t22:30+00:00,14,secondary-school,,0.0,,0,2020-01-05t05:16+00:00,rec-33920,bonita,pecolia,garner,f,10/03/2006, 180  dorset  road  flt  3 ,croydon,3136.0,vic, 08  9573  3124 ,bonita.garner@yahoo.com
i163638110,13, 1007  97158  2  2 ,married,142,-99,36,71,146,0,increased-urinary-frequency,2019-03-20t20:38+00:00,14,secondary-school,,10869.02837072055,,0,2020-06-10t14:26+00:00,rec-47802,mark,l,ryder,m,06/09/2006, 100  orford  street  the  reservation ,corowa,2646.0,nsw, 02  6295  7275 ,mark.ryder@aol.com
h167529730,10, 6600  58924  2  3 ,married,132,43,24,75,152,0,fall,2016-03-13t05:32+00:00,14,secondary-school,,0.0,,0,2020-03-09t02:37+00:00,rec-16348,gregory,jerome,hall,f,27/03/2006, 8  homestead  avenue  the  elms , walkley  heights ,5098.0,sa, 08  5146  7597 ,hall38@mail.com.au
d168021285,25, 1619  88036  2  2 ,not-married,171,129,44,72,167,1,low-energy,2017-12-15t22:47+00:00,26,graduate-diploma,chief-executive,119982.66730565835, 9839  3758  0116  9397 ,9,2018-07-07T15:34+00:00,rec-96752,walter,william,davis,f,26/07/1992, 8  ducholz  place  congreave  court ,emerald,2011.0,qld, 07  3852  8288 ,davis.walter@yahoo.com
b112663905,11, 2948  58200  1  2 ,not-married,158,50,20,72,201,0,dizziness,2014-10-06t16:19+00:00,18,senior-secondary-school,casual-worker,0.0, 9159  0167  6748  6097 ,1,2020-06-12t15:39+00:00,rec-83548,daniel,daryl,myers,f,22/08/2002, 240  wiridgil  lane  bimberdong ,camperdown,3221.0,vic, 03  6006  6024 ,myers.daniel.gmail.com
f175598033,12, 1982  79148  2  3 ,married,135,59,32,68,209,0,urinary-tract-infection,2017-03-06t04:10+00:00,15,secondary-school,,-9999.0,,0,2020-02-23t23:54+00:00,rec-83972,franklin,wayne,rashed,f,03/03/2005, 22  wattle  avenue  rowethorpe ,bentley,6102.0,wa, 08  7054  9745 ,rashed43@hotmail.com
h151202597,12, 9233  59008  2  2 ,not-married,162,67,25,81,185,0,spells-of-coughing-in-am,2018-03-20t19:22+00:00,17,senior-secondary-school,casual-worker,0.0, 1764  0883  1016  1587 ,2,2020-05-07t04:02+00:00,rec-99255,walter,d,martin,f,12/03/2003, 7  james  street  mellour  court ,gilberton,5081.0,sa, 08  9587  1668 ,walter.martin.yahoo.com
h151202597,12, 9233  59008  2  2 ,not-married,162,67,25,81,185,0,spells-of-coughing-in-am,2018-03-20t19:22+00:00,17,senior-secondary-school,casual-worker,0.0, 1764  0883  1016  1587 ,2,2020-05-07t04:02+00:00,rec-99255,walter,d,martin,f,12/03/2003, 7  james  street  mellour  court ,gilberton,5081.0,sa, 08  9587  1668 ,walter.martin.yahoo.com
c199942451,14, 5315  30522  2  2 ,married,153,58,24,70,129,0,urinary-tract-infection,2019-10-05t23:53+00:00,15,secondary-school,,12480.39344363004,,0,2020-02-22t04:40+00:00,rec-34025,peggy,ann,hardin,f,02/01/2005, 199  unley  road  malvern  medical  centre ,unley,5061.0,sa, 08  6092  7530 ,peggy.hardin@aol.com
g183508301,7, 7795  95241  2  3 ,married,125,-99,19,71,145,0,left-eye-cataract,2020-07-26t20:02+00:00,7,primary-school,,-9999.0,,0,2020-06-12t11:21+00:00,rec-87851,billy,j,smith,f,15/01/2013, 14  castlereagh  street  summit  cotge ,penrith,2750.0,nsw, 02  3024  8035 ,billy.smith@aol.com
e166589688,15, 4627  84362  1  2 ,not-married,162,94,35,80,181,0,drowsiness,2019-04-01t09:08+00:00,16,senior-secondary-school,casual-worker,0.0, 6477  0397  4529  5964 ,3,2020-07-17t09:47+00:00,rec-74830,nicholas,walter,brendle,f,23/12/2004, 96  grayson  drive  clarendon ,scoresby,3179.0,vic, 03  7224  0014 ,oeahnctejj@aol.com
c142204408,9, 6956  10627  2  2 ,married,142,-99,21,76,209,0,squamous-cell-carcinoma,2018-12-15t23:50+00:00,11,primary-school,,-9999.0,,0,2020-03-13t17:53+00:00,rec-51570,christopher,darrell,dawson,m,22/10/2009, 1  jeanes  road  moline  village ,karrinyup,6018.0,wa,,christopher.dawson@mail.com.au
h193056559,8, 1508  72412  1  3 ,married,118,26,18,76,174,0,sweating,2020-05-06t20:34+00:00,8,primary-school,,0.0,,0,2020-07-11t07:40+00:00,rec-96444,harry,gerard,kelley,f,15/09/2012, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  8358  8837 ,kelley88@aol.com
e114630667,9, 2064  81042  1  3 ,married,144,-99,12,76,189,0,torn-meniscus-left-knee,2015-08-16t12:49+00:00,14,secondary-school,,-9999.0,,0,2020-01-21t13:58+00:00,rec-23725,natalie,bongrazio,livingston,f,17/12/2006, 81  anne  findlay  place  koah  lodge , bateau  bay ,2340.0,nsw, 02  6659  1376 ,meidsmfose@hotmail.com
b182569589,10, 5159  27545  1  3 ,not-married,149,31,13,66,219,0,diarrhea,2014-03-26t20:15+00:00,16,senior-secondary-school,casual-worker,-2515.68900369941, 3902  8957  9316  2029 ,3,2020-07-07t16:32+00:00,rec-61170,francheska,jonkheer,lewis,f,30/04/2004, 1  streatham  road  erindale ,skipton,3361.0,vic,,lewis.francheska@mail.com
f196832973,13, 8319  60148  2  2 ,not-married,143,75,36,74,214,0,abdomenal-pain,2016-10-17t15:21+00:00,17,senior-secondary-school,casual-worker,0.0, 7980  0606  3114  1009 ,2,2020-07-18t08:39+00:00,rec-89327,randolph,lewis,macmillian,m,01/07/2003, 55  wetherby  road  flea , howard  springs ,835.0,nt, 08  3401  1348 ,macmillian.randolph@aol.com
c171817443,26, 8265  98334  1  2 ,married,183,148,44,76,145,0,ankle-swelling,2016-09-22t24:34+00:00,28,senior-secondary-school,personal-assistant,44519.0, 2627  6613  4322  2106 ,11,2018-04-16T22:15+00:00,rec-16196,clarence,arthur,mcpherson,m,27/05/1990, 98  lorraine  avenue  berkeley  vlge , berkeley  vale ,2261.0,nsw, 02  0840  9034 ,clarence4@mail.com.au
h130655510,7, 6074  98458  2  3 ,married,129,21,12,75,208,0,gerd,2015-05-24t16:34+00:00,12,secondary-school,,-9999.0,,0,2020-07-03t11:02+00:00,rec-57274,vicki,emogene,brink,f,27/03/2008, 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,870.0,nt, 08  1390  8864 ,vicki.brink@mail.com
d113552770,59, 2722  32917  2  1 ,married-de-facto,171,87,29,70,229,1,high-cholesterol,2014-06-05t14:22+00:00,63,senior-secondary-school,machinary-driver,12303.904855245908, 0124  8323  0744  3652 ,47,2017-02-21T21:44+00:00,rec-17450,boyd,ajay,bailey,f,25/08/1954, 54  duell  road  whitsunday  pandanu ,cannonvale,3678.0,qld, 07  8222  2532 ,bailey.boyd@mail.com.au
b161728853,18, 8381  71167  1  3 ,not-married,179,-99,17,71,112,0,nausea,2020-03-05t10:38+00:00,18,senior-secondary-school,casual-worker,6013.175602321184, 9227  6867  9006  6912 ,1,2020-04-09t08:23+00:00,rec-94467,phillip,dean,smith,m,17/12/2002, 52  moir  lane  the  ridge ,acheron,3714.0,vic, 03  4495  7026 ,smith48@mail.com.au
b161728853,18, 8381  71167  1  3 ,not-married,179,-99,17,71,112,0,nausea,2020-03-05t10:38+00:00,17,senior-secondary-school,casual-worker,-9999.0, 9227  6867  9006  6912 ,1,2019-06-11T14:47+00:00,rec-94467,phillip,dean,smith,m,17/12/2002, 52  moir  lane  the  ridge ,acheron,3714.0,vic, 08  0019  7753 ,smith48@mail.com.au
g148697726,9, 1349  91146  2  3 ,married,126,35,22,73,229,0,hernia,2020-03-23t24:37+00:00,9,primary-school,,-816.8109513261024,,0,2020-04-23t14:39+00:00,rec-31262,patricia,yvette,mcbride,m,28/08/2011, 1  vermont  rise  village  walk , vermont  south ,3133.0,vic, 03  7062  3936 ,mcbride.patricia@gmail.com
g159411090,5, 2361  31793  1  2 ,married,102,19,18,69,204,0,right-ear-fullness,2013-05-02t04:44+00:00,12,secondary-school,,0.0,,0,2020-04-08t14:27+00:00,rec-46341,terry,l,smart,m,28/04/2008, 11  tingira  crescent  sea  vista  noosa , sunshine  beach ,4567.0,qld, 07  3920  9635 ,hadppesnod@gmail.com
g112591394,5, 6400  60307  2  2 ,married,112,23,18,67,164,0,fall,2012-02-18t03:56+00:00,13,secondary-school,,0.0,,0,2020-07-19t20:21+00:00,rec-44612,marcia,lorraine,cornelison,f,02/04/2007, 43  nareen  garden  retirement  vlge , bateau  bay ,2261.0,nsw, 03  1090  9887 ,marcia89@aol.com
c192241466,7, 8511  82777  2  3 ,married,121,21,14,75,162,0,low-energy,2015-01-16t14:18+00:00,12,secondary-school,,0.0,,0,2020-02-02t21:25+00:00,rec-23988,bango,ellen,spence,m,05/08/2008, 391  scaysbrook  drive  brentwood  vlge ,kincumber,2251.0,nsw, 02  1927  6446 ,spence2@gmail.com
c179910029,34, 9641  59293  1  1 ,not-married,166,84,30,79,235,0,fall,2019-09-18t02:27+00:00,33,certificate-iii,construction-worker,55643.0, 9083  4564  3150  4073 ,16,2018-08-27T19:41+00:00,rec-56377,markesha,b,friedhoff,f,24/11/1985, 1  bronberg  court  villa  27 ,southport,4215.0,qld, 07  9106  9748 ,markesha.friedhoff@mail.com.au
g143112697,6, 7489  23642  1  3 ,married,114,22,16,81,87,0,right-hip-revision,2020-01-27t14:32+00:00,7,primary-school,,0.0,,0,2020-05-13t04:53+00:00,rec-8401,reginald,ray,alcocer,m,10/06/2013, 2  berwick  street  broughton  hall ,camberwell,3124.0,vic, 03  3330  3874 ,reginald.alcocer.aol.com
d125825216,9, 1574  60551  2  3 ,not-married,143,34,16,77,134,0,blood-in-urine,2013-06-02t03:01+00:00,16,senior-secondary-school,casual-worker,-2634.1098910846395, 1640  3046  8446  4567 ,3,2020-05-15t22:41+00:00,rec-14996,wendy,jean,hyman,m,07/04/2004, 3  parap  road  parap  village  shopping  centre ,parap,820.0,nt, 08  0350  7438 ,wendy.hyman@mail.com.au
g179591985,7, 2182  78446  2  3 ,married,112,30,23,71,137,0,urinary-frequency,2020-05-10t05:55+00:00,7,primary-school,,0.0,,0,2020-01-04t18:27+00:00,rec-90996,charles,peter,draper,f,01/11/2013, 230  north  rocks  road  b , north  rocks ,2151.0,nsw, 02  0718  4262 ,charles16@mail.com
e110445563,7, 4181  83591  1  3 ,married,129,24,14,81,136,0,fall-with-loss-of-consciousness,2014-10-12t12:03+00:00,13,secondary-school,,0.0,,0,2020-02-24t17:26+00:00,rec-9619,donald,remone,ross,f,04/10/2007, 46  northview  drive  kalinga ,leopold,3224.0,vic, 02  7441  5636 ,ross.donald@hotmail.com
e110445563,7, 4181  83591  1  3 ,married,129,24,14,81,136,0,fall-with-loss-of-consciousness,2014-10-12t12:03+00:00,9,secondary-school,,0.0,,0,2016-01-18T23:37+00:00,rec-9619,donald,remone,ross,f,04/10/2007, 46  northview  drive  kalinga ,leopold,3224.0,vic, 08  1442  0171 ,ross.donald@hotmail.com
e146274597,5, 9242  83216  2  2 ,married,106,24,21,76,97,0,heart-palpitations,2013-08-17t04:31+00:00,12,secondary-school,,3562.0294308562643,,0,2020-01-07t07:05+00:00,rec-25161,christian,erie,doyle,m,28/05/2008, 656  mole  creek  road  redlands ,deloraine,7304.0,tas, 03  8357  4875 ,christian88@gmail.com
g153041794,11, 9639  41591  1  3 ,not-married,133,39,22,71,170,0,fall,2015-09-07t06:34+00:00,16,senior-secondary-school,casual-worker,0.0, 6215  0508  1868  9732 ,3,2020-07-13t20:50+00:00,rec-38332,denise,sydna,blakely,f,09/08/2004, 48  the  mall  paspalis  centrepoint ,darwin,800.0,nt, 08  7382  7591 ,rsrlglrapk@mail.com.au
h166595000,13, 8548  54722  2  2 ,not-married,163,-99,26,75,184,0,dizzyness,2015-07-08t12:40+00:00,18,senior-secondary-school,casual-worker,0.0, 0566  3112  8570  2536 ,1,2020-07-04t23:42+00:00,rec-47391,leroy,franklin,keller,m,29/03/2002, 159  bullcreek  drive  air  force  memorial  est , bull  creek ,6149.0,wa, 08  3340  3251 ,leroy23@hotmail.com
c116636340,5, 3858  65222  1  2 ,married,113,19,14,75,222,0,fall,2020-04-14t20:40+00:00,5,pre-school,,0.0,,0,2020-03-22t13:46+00:00,rec-54825,george,kenneth,wright,m,16/03/2015, 512  glencoe  road  narrabloc ,proston,4613.0,qld,,wright74@gmail.com
h157889730,7, 5988  95477  2  2 ,married,126,31,19,75,199,0,musculoskeletal-pain,2014-08-15t02:34+00:00,13,secondary-school,,0.0,,0,2020-05-19t24:29+00:00,rec-20380,bonnie,gay,lyon,f,04/04/2007, 74  warlingham  drive  parry  hostel ,lesmurdie,6076.0,wa, 08  1408  3214 ,lyon.bonnie@mail.com
a184334498,7, 4689  73679  2  2 ,married,124,21,13,70,95,0,fall,2015-08-12t23:35+00:00,12,secondary-school,,0.0,,0,2020-07-08t11:41+00:00,rec-50583,gerard,w,zuleta,m,31/10/2008, 758  blunder  road  sit  239 ,durack,4077.0,qld, 07  3493  2146 ,zuleta.gerard@gmail.com
a147733170,8, 4974  57702  2  3 ,married,132,35,20,76,223,0,chest-pain,2015-10-21t13:45+00:00,13,secondary-school,,8545.101383500949,,0,2020-03-20t15:16+00:00,rec-65038,jonathan,fredrick,hutchins,m,31/07/2007, 141  bullcreek  drive  air  force  memorial  est , bull  creek ,6149.0,wa, 08  7737  7623 ,hutchins41@mail.com
i114514338,6, 6932  58182  2  3 ,married,115,22,16,80,178,0,acute-renal-failure,2014-10-05t09:26+00:00,12,secondary-school,,0.0,,0,2020-07-03t21:09+00:00,rec-75427,david,p,herman,m,24/01/2008, 1575  portarlington  road  somerset  cottage ,drysdale,3222.0,vic, 03  9546  4282 ,david76@hotmail.com
i114514338,6, 6932  58182  2  3 ,married,115,22,16,80,178,0,acute-renal-failure,2014-10-05t09:26+00:00,11,secondary-school,,0.0,,0,2019-08-15T01:44+00:00,rec-75427,david,p,herman,m,24/01/2008, 1575  portarlington  road  somerset  cottage ,drysdale,3222.0,vic, 03  9546  4282 ,david76@hotmail.com
f121888034,4, 9664  88418  2  3 ,married,103,16,15,73,247,0,rash,2012-02-23t03:12+00:00,12,secondary-school,,0.0,,0,2020-02-14t17:30+00:00,rec-92855,raymond,ray,sadler,f,27/11/2008, 123  clarke  lane  tatiara , gerang  gerung ,3756.0,vic, 03  2165  0571 ,sadler87@gmail.com
g121741448,11, 6620  12285  1  2 ,married,141,-99,31,65,267,0,fainted-and-passed-out,2018-06-15t02:35+00:00,13,secondary-school,,0.0,,0,2020-05-06t05:15+00:00,rec-99469,lee,brodie,blevins,f,22/04/2007, 3859  deviney  road  pinelands  industrial  estate ,berrimah,828.0,nt, 08  4035  9123 ,blevins.lee@mail.com.au
e188806337,15, 3929  33578  1  2 ,not-married,179,70,21,75,163,0,leg-cramps,2018-08-21t16:25+00:00,17,senior-secondary-school,casual-worker,0.0, 3106  7614  9090  3025 ,2,2020-01-04t11:42+00:00,rec-64773,max,londell,white,m,09/07/2003, 28  murray  park  murray  park ,mannum,5238.0,sa,,white69@gmail.com
f146897878,6, 4033  36808  2  3 ,married,108,23,19,70,160,0,tremor-(hands-and-legs),2020-06-03t23:11+00:00,6,primary-school,,-9999.0,,0,2020-03-20t04:37+00:00,rec-80076,johnathan,paul,crump,m,24/08/2014, 1  valley  view  drive  walkers  orchard ,riverside,7250.0,tas, 03  3876  7308 ,crump.johnathan@hotmail.com
h138715134,10, 4866  88739  2  2 ,not-married,135,40,21,74,180,1,stomach-flu,2015-11-09t04:24+00:00,18,senior-secondary-school,casual-worker,-9999.0, 5512  4097  1406  6245 ,1,2020-06-09t04:38+00:00,rec-78456,brian,w,cooper,f,24/03/2002, 19  ware  avenue  causeway  lake ,yeppoon,4703.0,qld, 07  7366  4812 ,brian.cooper.mail.com.au
c178326234,14, 1441  71846  1  3 ,not-married,144,82,39,77,176,0,bronchitis-(upper-respiratory-infection),2017-02-01t14:09+00:00,17,senior-secondary-school,casual-worker,0.0, 2262  2178  1975  1301 ,2,2020-07-16t11:05+00:00,rec-61813,laura,weeks,perry,f,06/06/2003, 17  gleneon  drive  hse  7 , pipers  bay ,2428.0,nsw, 02  1099  3087 ,laura87@yahoo.com
h159447116,8, 2160  88301  2  2 ,married,124,34,22,74,186,0,sweating,2016-08-17t11:51+00:00,12,secondary-school,,0.0,,0,2020-04-18t01:59+00:00,rec-95059,joseph,fitzgerald,maguire,f,11/05/2008, 1  the  boulevard  tall  woods  village , hallidays  point ,2430.0,nsw, 02  9768  8538 ,joseph.maguire@aol.com
e188538156,17, 6582  69435  1  2 ,not-married,181,57,17,76,128,1,headaches,2019-08-02t11:27+00:00,18,senior-secondary-school,casual-worker,5466.810248350148, 4183  2017  1967  2269 ,1,2020-02-10t03:15+00:00,rec-98227,douglas,foster,morrison,f,14/11/2002, 868  old  calder  highway  keilor  retirement  village ,keilor,3036.0,vic, 03  2451  1574 ,douglas49@aol.com
i138969822,12, 4080  87456  2  3 ,not-married,133,60,33,75,202,0,bowel-perforation,2014-06-17t09:37+00:00,18,senior-secondary-school,casual-worker,0.0, 2760  4814  8798  4141 ,1,2020-02-25t10:11+00:00,rec-93430,dennis,joe,hughes,f,14/01/2002, 812  bridgeman  road  numby ,singleton,2330.0,nsw, 08  3142  2490 ,fqeitaplki@gmail.com
e126127471,12, 9255  14923  1  3 ,not-married,135,39,21,80,172,0,bilateral-leg-cramps,2015-10-22t14:22+00:00,17,senior-secondary-school,casual-worker,0.0, 4118  5838  5187  6164 ,2,2020-07-16t04:48+00:00,rec-96815,modesto,dale,latif,f,18/11/2003, 26  southgate  avenue  apt  1605 ,southbank,3006.0,vic, 03  9081  6970 ,modesto.latif@aol.com
g165915969,15, 3310  27617  2  3 ,not-married,170,80,27,82,77,0,right-knee-surgery,2018-12-02t22:39+00:00,17,senior-secondary-school,casual-worker,-9999.0, 8625  0100  9743  7751 ,2,2020-01-02t04:32+00:00,rec-35568,david,wayne,ledbetter,m,04/11/2003, 5  james  street  shangri-la , port  fairy ,3284.0,vic, 03  7437  7757 ,david.ledbetter@mail.com.au
c160612739,8, 5408  48974  1  3 ,married,128,26,15,70,182,0,r.-knee--total-replacement,2020-03-21t03:23+00:00,8,primary-school,,0.0,,0,2020-04-07t17:39+00:00,rec-75807,robert,paul,mattison,f,07/02/2012, 595  kiaree  lane  anunaka ,bethungra,2590.0,nsw, 02  0679  5521 ,qjpiidngfa@yahoo.com
f122305506,10, 5775  62646  2  2 ,married,126,-99,19,73,99,0,oral-surgery,2015-03-15t01:19+00:00,15,secondary-school,,0.0,,0,2020-06-05t03:42+00:00,rec-68180,angela,mcrae,chu,f,06/10/2005, 183  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,2530.0,nsw, 02  1413  9147 ,chu.angela@mail.com
e169069801,8, 7280  18323  2  2 ,not-married,131,53,30,71,144,0,chest-pain,2014-08-07t01:18+00:00,17,senior-secondary-school,casual-worker,-9999.0, 2020  0316  3459  8886 ,2,2020-07-16t12:25+00:00,rec-44809,kristin,woolley,guerrero,f,22/10/2003, 2  mathew  flinders  street  gove  house ,gove,880.0,nt, 08  1841  6090 ,guerrero75.mail.com
a172698348,6, 1357  37964  2  2 ,married,113,27,21,75,159,0,lower-back-pain/-stiffness,2013-07-11t03:27+00:00,13,secondary-school,,0.0,,0,2020-07-20t21:04+00:00,rec-71592,mark,deward,conti,f,11/08/2007, 4  ak  road  gothaire ,kingsthorpe,4400.0,qld, 07  9440  1135 ,conti.mark@hotmail.com
i166852474,13, 1983  13444  2  3 ,not-married,148,75,34,70,210,0,anemia,2015-01-18t20:23+00:00,18,senior-secondary-school,casual-worker,0.0, 7610  0702  1098  6390 ,1,2020-02-10t04:47+00:00,rec-63303,justin,wakil,mellows,m,21/06/2002, 237  dural  road  pitt  town ,maraylya,6395.0,nsw, 08  6423  7051 ,jrltmjbmdl@mail.com.au
i166852474,13, 1983  13444  2  3 ,not-married,148,75,34,70,210,0,anemia,2015-01-18t20:23+00:00,16,senior-secondary-school,casual-worker,-462.840535847763, 7610  0702  1098  6390 ,1,2018-06-07T18:45+00:00,rec-63303,justin,wakil,mellows,m,21/06/2002, 237  dural  road  pitt  town ,maraylya,5039.0,nsw, 08  5310  8193 ,jrltmjbmdl@mail.com.au
a139000045,7, 4673  15000  2  2 ,married,110,34,28,67,253,0,fall,2020-01-16t14:12+00:00,7,primary-school,,-5678.637159058213,,0,2020-07-19t05:12+00:00,rec-78718,joseph,nicholas,washington,f,25/07/2013, 252  main  road  regents  landing ,maroochydore,4558.0,qld, 07  5113  2071 ,
a139000045,7, 4673  15000  2  2 ,married,110,34,28,67,253,0,fall,2020-01-16t14:12+00:00,5,primary-school,,0.0,,0,2018-01-25T10:49+00:00,rec-78718,joseph,nicholas,washington,f,25/07/2013, 252  main  road  regents  landing ,maroochydore,4558.0,qld, 07  5113  2071 ,kbfikkjdsj@hotmail.com
e132720895,9, 5835  15330  1  2 ,married,133,29,16,76,126,0,worsening-left-cataract,2020-03-03t04:17+00:00,9,primary-school,,0.0,,0,2020-06-10t06:35+00:00,rec-75971,bernard,antronhall,sterrett,f,10/11/2011, 42  yambina  crescent  ambara  court ,waramanga,2611.0,act, 02  4453  8162 ,bernard.sterrett@yahoo.com
i143473269,6, 7291  74739  2  2 ,married,107,29,25,74,228,0,sweating,2013-11-04t02:30+00:00,13,secondary-school,,-9999.0,,0,2020-05-21t06:39+00:00,rec-20591,carter,reed,ferger,m,11/11/2007, 1  biddlecombe  street  sherwood  garden ,pearce,2607.0,act, 02  0280  2830 ,ferger56@mail.com
c129653952,12, 2555  40800  1  3 ,not-married,151,40,17,73,199,0,weekly-episodes-incontinence-and-overall-frequency-of-urination,2014-11-04t10:48+00:00,18,senior-secondary-school,casual-worker,-9999.0, 4611  7943  9977  0482 ,1,2020-03-05t09:28+00:00,rec-79421,dewayne,craig,shrewsbury,f,28/12/2002, 100  market  street  centrepoint ,sydney,2000.0,nsw, 02  2515  5001 ,dewayne36@gmail.com
b183235998,6, 9597  88632  2  3 ,married,117,26,18,74,89,0,numbness,2015-06-15t24:46+00:00,12,secondary-school,,0.0,,0,2020-07-12t06:25+00:00,rec-59358,carol,ernestine,deal,f,04/05/2008, 2  marcus  clarke  street  capital  towers ,canberra,2601.0,act, 03  4351  9405 ,deal5@mail.com.au
g108931647,7, 6719  63659  1  2 ,married,127,29,17,80,183,0,left-arm-tightness,2016-06-22t09:10+00:00,11,primary-school,,0.0,,0,2020-05-09t21:05+00:00,rec-38257,james,david,moore,m,25/12/2009, 14  smythes  road  delacombe ,ballarat,3350.0,vic, 03  6772  0661 ,moore.james@mail.com.au
a166714623,8, 5695  49361  1  3 ,married,120,23,15,80,217,0,low-energy,2020-02-14t07:50+00:00,8,primary-school,,-2475.9516971894354,,0,2020-02-19t14:38+00:00,rec-56720,jeremy,elden,tanner,m,14/12/2012, 60  woodroffe  avenue  centraville , main  beach ,4217.0,qld, 07  5730  9807 ,tanner.jeremy@yahoo.com
a198645659,8, 6794  41909  1  2 ,married,122,39,26,67,240,0,17.-urinary-tract-infection,2015-01-26t03:01+00:00,13,secondary-school,,0.0,,0,2020-01-02t01:43+00:00,rec-73176,donald,s,drna,f,24/11/2007, 1  bulli  creek  road  aloria  holdings ,millmerran,4357.0,qld, 07  3059  1609 ,drna12@mail.com
h115122109,8, 6095  80719  1  2 ,married,118,35,25,79,210,0,urinary-frequency,2020-05-17t05:51+00:00,8,primary-school,,0.0,,0,2020-02-06t20:22+00:00,rec-31969,chester,leroy,vernon,m,07/08/2012, 1  mullion  range  road  katanya , mullion  creek ,2800.0,nsw, 02  2125  2397 ,vernon51@mail.com.au
f107031106,5, 8749  13513  1  3 ,married,118,26,18,67,160,0,dizziness-(periodic),2011-07-16t09:54+00:00,15,secondary-school,,6663.513831762661,,0,2020-01-26t09:45+00:00,rec-87435,ronald,alexander,perry,f,09/08/2005, 86  crozier  circuit  arawang ,kambah,2902.0,act, 02  6638  8743 ,
